exercise_name,exercise_name_ch,positions,primary_movers,secondary_movers,stabiliser,difficulty_level,difficulty_category,safety_constraints,sport_similarity,progression_from,progression_to,core_ipsi,core_contra,toe_touch,clinical_summary
Straight leg raise,直膝抬腿,supine_lying,quad:4,hip_flexors:3,,1,beginner,,,,,False,False,False,
Double leg glute bridging,雙腳臀橋,supine_lying,glute_max:4,hamstring:3,,2,beginner,,,,Single leg glute bridging,False,False,True,
Double leg hamstrings bridging,雙腳膕旁肌橋式,supine_lying,hamstring:4,glute_max:4,,3,beginner_to_intermediate,,,,Single leg hamstrings bridging,False,False,True,
Single leg glute bridging,單腳臀橋,supine_lying,glute_max:5,hamstring:3,glute_med_min:4,4,beginner_to_intermediate,,,,,True,True,True,
Single leg hamstrings bridging,單腳膕旁肌橋式,supine_lying,hamstring:5,glute_max:4,glute_med_min:4,5,intermediate,,,,,True,True,True,
Scissors,仰臥剪刀式,supine_lying,hip_flexors:3,,,1,beginner,,,,3-months supine hip lowering,False,False,True,
3-months supine hip lowering,仰臥三個月姿勢髖部下放,supine_lying,hip_flexors:5,,,2,beginner,,,Scissors,Deadbug,False,False,True,
Deadbug,死蟲式,supine_lying,hip_flexors:4,,,3,beginner_to_intermediate,,,3-months supine hip lowering,,False,True,True,
Side lying Clamshell,側臥蚌殼式,side_lying,glute_med_min:4,glute_max:2,,1,beginner,,,,Side plank on knees hip dip,False,False,False,
Side plank on knees hip dip,跪姿側棒式髖部升降,side_lying,glute_med_min:4,glute_max:4,,2,beginner,,,Side lying Clamshell,Side plank on knees hold,True,False,False,
Side plank on knees hold,跪姿側棒式停留,side_lying,glute_med_min:5,glute_max:4,,3,beginner_to_intermediate,,,Side plank on knees hip dip,Side plank Clamshell,True,False,False,
Side plank Clamshell,側棒式蚌殼式,side_lying,glute_med_min:5,glute_max:4,,4,beginner_to_intermediate,,,Side plank Clamshell,,True,False,False,
Side plank hip abduction,側棒式髖外展,side_lying,glute_med_min:5,glute_max:4,,5,intermediate,,,,,True,False,False,
Copenhagen adductor lv1,哥本哈根內收肌運動 Lv1,side_lying,adductors:3,,,1,beginner,,,,Copenhagen adductor lv2,False,False,False,
Copenhagen adductor lv2,哥本哈根內收肌運動 Lv2,side_lying,adductors:5,,,7,intermediate_to_advance,,,Copenhagen adductor lv1,,True,False,False,
Quadruped single limb movement,四足跪姿單肢活動,quadruped,,,glute_med_min:3,2,beginner,Kneeling,,,"Quadruped donkey kick,Quadruped hip abduction",False,True,False,
Quadruped donkey kick,四足跪姿驢踢,quadruped,glute_max:3,hamstring:3,glute_med_min:4,3,beginner_to_intermediate,Kneeling,,Quadruped single limb movement,Quadruped leg extension,False,True,False,
Quadruped leg extension,四足跪姿後踢,quadruped,glute_max:3,hamstring:2,glute_med_min:4,4,beginner_to_intermediate,Kneeling,,Quadruped donkey kick,Birddog,False,True,False,
Quadruped hip abduction,四足跪姿髖外展,quadruped,glute_max:3,hamstring:1,glute_med_min:5,4,beginner_to_intermediate,Kneeling,,Quadruped single limb movement,,False,True,False,
Birddog,鳥狗式,quadruped,glute_max:3,hamstring:2,glute_med_min:5,5,intermediate,Kneeling,,Quadruped leg extension,,False,True,False,
DL squat,雙腳深蹲,DL_stand,"quad:5,glute_max:3","hamstring:3,adductors:1",glute_med_min:3,3,beginner_to_intermediate,Weight_bear,"cycling,swimming",,Split leg squat,False,False,False,
DL squat with band,彈力帶雙腳深蹲,DL_stand,"quad:5,glute_max:4,glute_med_min:4","hamstring:3,adductors:1",,4,beginner_to_intermediate,Weight_bear,"cycling,swimming",,Split leg squat,False,False,False,
DL squat with adductor squeeze,雙腳深蹲(夾內收肌),DL_stand,"quad:5,glute_max:3,adductors:3",hamstring:3,glute_med_min:3,4,beginner_to_intermediate,Weight_bear,"cycling,swimming",,Split leg squat,False,False,False,
Hip hinge,髖關節鉸鏈,DL_stand,"hamstring:5,glute_max:4",adductors:2,quad:3,5,intermediate,Weight_bear,"cycling,swimming",,SL RDL,False,False,False,
Split leg squat,分腿蹲,split_stand,"quad:5,glute_max:4","hamstring:4,adductors:3",glute_med_min:4,4,beginner_to_intermediate,"Core_stability,Weight_bear","running,hiking,dancing,racket sports",Quadruped hip abduction,Backward Lunge,True,True,False,
Backward Lunge,後弓箭步,split_stand,"quad:5,glute_max:5","hamstring:5,adductors:3",glute_med_min:4,5,intermediate,"Core_stability,Weight_bear","running,hiking,dancing,racket sports",Split leg squat,Step up,True,True,False,
Step up,登階運動,split_stand,"quad:5,glute_max:4","hamstring:4,adductors:3",glute_med_min:5,5,intermediate,"Core_stability,Weight_bear","running,hiking,dancing,racket sports",Hip hikes,SL half squat,True,True,False,
Side squat,側蹲,split_stand,"quad:5,glute_max:4,glute_med_min:5","hamstring:4,adductors:3",,6,intermediate,"Core_stability,Weight_bear","running,hiking,dancing,racket sports",Side plank hip abduction,,True,True,False,
Hip hikes,骨盆側提,SL_stand,glute_med_min:5,,,5,intermediate,"Core_stability,Weight_bear","running,hiking,dancing,racket sports",Side plank on knees hip dip,Step up,True,False,False,
RFESS,保加利亞分腿蹲,SL_stand,"quad:5,glute_max:5","hamstring:4,adductors:3",glute_med_min:4,7,intermediate_to_advance,"Core_stability,Weight_bear","running,hiking,dancing,racket sports",Split leg squat,SL half squat,True,True,False,
SL half squat,單腳半蹲,SL_stand,"quad:5,glute_max:5","hamstring:3,adductors:3",glute_med_min:5,9,advance,"Core_stability,Weight_bear","running,hiking,dancing,racket sports",RFESS,,True,True,False,
SL RDL,單腳羅馬尼亞硬舉,SL_stand,hamstring:5,glute_max:5,"quad:2,glute_med_min:5,adductors:4",9,advance,"Core_stability,Weight_bear","running,hiking,dancing,racket sports","Birddog,Hip hinge",,True,True,False,
